"outcome","exposure","spec","estimate","p.value","r2","nobs","expected","verdict","sig"
"PFBA","idw_tierweighted_10km","plus_cov",-0.0151,0.489,0.504,572,"pos","no/▼ support (wrong sign, n.s.)",""
"PFHpA","idw_tierweighted_10km","simple",0.00915,0.558,0.001,240,"pos","weak support (expected sign, n.s.)",""
"PFHpA","idw_tierweighted_10km","plus_cov",0.0188,0.425,0.248,240,"pos","weak support (expected sign, n.s.)",""
"PFOS","idw_airport_10km","simple",0.146,4.74e-06,0.025,845,"pos","SUPPORTS  (sig, expected sign)","***"
"PFOS","idw_airport_10km","plus_cov",0.0847,0.0214,0.199,845,"pos","SUPPORTS  (sig, expected sign)","**"
"PFOA","idw_airport_10km","simple",0.0123,0.646,0,700,"pos","weak support (expected sign, n.s.)",""
"PFOA","idw_airport_10km","plus_cov",0.028,0.36,0.216,700,"pos","weak support (expected sign, n.s.)",""
"PFHxS","idw_airport_10km","simple",-0.0649,0.0448,0.006,678,"pos","CONTRADICTS (sig, wrong sign)","**"
"PFHxS","idw_airport_10km","plus_cov",-0.0486,0.204,0.186,678,"pos","no/▼ support (wrong sign, n.s.)",""
"PFBS","idw_airport_10km","simple",-0.0688,0.0507,0.004,916,"pos","no/▼ support (wrong sign, n.s.)","*"
"PFBS","idw_airport_10km","plus_cov",0.0263,0.512,0.17,916,"pos","weak support (expected sign, n.s.)",""
"PFHxA","idw_airport_10km","simple",0.0143,0.614,0,794,"pos","weak support (expected sign, n.s.)",""
"PFHxA","idw_airport_10km","plus_cov",0.0255,0.451,0.176,794,"pos","weak support (expected sign, n.s.)",""
"PFPeA","idw_airport_10km","simple",0.0686,0.023,0.006,925,"pos","SUPPORTS  (sig, expected sign)","**"
"PFPeA","idw_airport_10km","plus_cov",0.0681,0.0474,0.195,925,"pos","SUPPORTS  (sig, expected sign)","**"
"PFBA","idw_airport_10km","simple",0.367,7.42e-13,0.086,572,"pos","SUPPORTS  (sig, expected sign)","***"
"PFBA","idw_airport_10km","plus_cov",0.179,0.000108,0.519,572,"pos","SUPPORTS  (sig, expected sign)","***"
"PFHpA","idw_airport_10km","simple",-0.0421,0.216,0.006,240,"pos","no/▼ support (wrong sign, n.s.)",""
"PFHpA","idw_airport_10km","plus_cov",-0.0312,0.57,0.246,240,"pos","no/▼ support (wrong sign, n.s.)",""
"PFOS","within_5km","simple",-0.0694,0.134,0.003,845,"pos","no/▼ support (wrong sign, n.s.)",""
"PFOS","within_5km","plus_cov",-0.0502,0.339,0.194,845,"pos","no/▼ support (wrong sign, n.s.)",""
"PFOA","within_5km","simple",-0.000785,0.983,0,700,"pos","no/▼ support (wrong sign, n.s.)",""
"PFOA","within_5km","plus_cov",0.0334,0.429,0.216,700,"pos","weak support (expected sign, n.s.)",""
"PFHxS","within_5km","simple",-0.108,0.0206,0.008,678,"pos","CONTRADICTS (sig, wrong sign)","**"
"PFHxS","within_5km","plus_cov",-0.16,0.00554,0.195,678,"pos","CONTRADICTS (sig, wrong sign)","***"
"PFBS","within_5km","simple",-0.108,0.0226,0.006,916,"pos","CONTRADICTS (sig, wrong sign)","**"
"PFBS","within_5km","plus_cov",-0.0709,0.199,0.171,916,"pos","no/▼ support (wrong sign, n.s.)",""
"PFHxA","within_5km","simple",-0.0236,0.575,0,794,"pos","no/▼ support (wrong sign, n.s.)",""
"PFHxA","within_5km","plus_cov",-0.0136,0.787,0.175,794,"pos","no/▼ support (wrong sign, n.s.)",""
"PFPeA","within_5km","simple",0.00924,0.835,0,925,"pos","weak support (expected sign, n.s.)",""
"PFPeA","within_5km","plus_cov",0.00334,0.948,0.191,925,"pos","weak support (expected sign, n.s.)",""
"PFBA","within_5km","simple",0.176,0.0307,0.008,572,"pos","SUPPORTS  (sig, expected sign)","**"
"PFBA","within_5km","plus_cov",-0.037,0.622,0.504,572,"pos","no/▼ support (wrong sign, n.s.)",""
"PFHpA","within_5km","simple",0.0334,0.571,0.001,240,"pos","weak support (expected sign, n.s.)",""
"PFHpA","within_5km","plus_cov",0.0294,0.741,0.245,240,"pos","weak support (expected sign, n.s.)",""
"PFOS","within_10km","simple",-0.111,0.0565,0.004,845,"pos","no/▼ support (wrong sign, n.s.)","*"
"PFOS","within_10km","plus_cov",-0.124,0.0589,0.197,845,"pos","no/▼ support (wrong sign, n.s.)","*"
"PFOA","within_10km","simple",-0.114,0.0208,0.008,700,"pos","CONTRADICTS (sig, wrong sign)","**"
"PFOA","within_10km","plus_cov",-0.0736,0.179,0.217,700,"pos","no/▼ support (wrong sign, n.s.)",""
"PFHxS","within_10km","simple",-0.132,0.0179,0.008,678,"pos","CONTRADICTS (sig, wrong sign)","**"
"PFHxS","within_10km","plus_cov",-0.137,0.0531,0.189,678,"pos","no/▼ support (wrong sign, n.s.)","*"
"PFBS","within_10km","simple",-0.228,5.97e-05,0.017,916,"pos","CONTRADICTS (sig, wrong sign)","***"
"PFBS","within_10km","plus_cov",-0.186,0.00436,0.178,916,"pos","CONTRADICTS (sig, wrong sign)","***"
"PFHxA","within_10km","simple",-0.0614,0.219,0.002,794,"pos","no/▼ support (wrong sign, n.s.)",""
"PFHxA","within_10km","plus_cov",-0.0643,0.276,0.177,794,"pos","no/▼ support (wrong sign, n.s.)",""
"PFPeA","within_10km","simple",-0.0132,0.805,0,925,"pos","no/▼ support (wrong sign, n.s.)",""
"PFPeA","within_10km","plus_cov",-0.00851,0.889,0.191,925,"pos","no/▼ support (wrong sign, n.s.)",""
"PFBA","within_10km","simple",0.359,0.000621,0.02,572,"pos","SUPPORTS  (sig, expected sign)","***"
"PFBA","within_10km","plus_cov",0.109,0.285,0.504,572,"pos","weak support (expected sign, n.s.)",""
"PFHpA","within_10km","simple",-0.0207,0.752,0,240,"pos","no/▼ support (wrong sign, n.s.)",""
"PFHpA","within_10km","plus_cov",-0.0469,0.625,0.246,240,"pos","no/▼ support (wrong sign, n.s.)",""
